Latitude,Longitude
50.9480512,6.972181
50.9480512,6.9721808
50.9480512,6.9721807
50.9480513,6.9721807
50.9480515,6.9721812
50.9480513,6.9721813
50.9480517,6.9721812
50.948052,6.9721802
50.9480517,6.972179
50.948052,6.972177
50.9480522,6.9721757
50.9480533,6.9721758
50.948053,6.9721778
50.9480537,6.9721862
50.9480547,6.9721857
50.9480547,6.9721855
50.9480545,6.9721848
50.948054,6.972185
50.9480538,6.9721848
50.9480538,6.972184
50.9480538,6.9721828
50.9480542,6.9721833
50.9480538,6.9721817
50.948054,6.9721822
50.9480538,6.972181
50.9480542,6.9721825
50.948054,6.9721838
50.9480538,6.9721842
50.9480538,6.9721845
50.9480535,6.9721847
50.9480535,6.9721842
50.9480538,6.9721853
50.9480538,6.9721852
50.9480542,6.972185
50.9480542,6.9721852
50.9480543,6.9721847
50.948054,6.9721852
50.9480568,6.972186
50.948062,6.9721803
50.9480668,6.9721718
50.9480792,6.97215
50.9480852,6.9721385
50.9480897,6.9721257
50.9480952,6.9721132
50.9481023,6.9721035
50.94811,6.9720935
50.9481157,6.9720813
50.9481207,6.9720678
50.9481272,6.9720552
50.9481608,6.9720112
50.9481688,6.9720002
50.9481762,6.97199
50.9481837,6.9719797
50.9481902,6.9719692
50.9481783,6.9719673
50.9481785,6.9719672
50.9481785,6.9719677
50.948179,6.9719687
50.9481792,6.9719697
50.9481793,6.9719703
50.9481787,6.9719705
50.9481752,6.9719687
50.94817,6.9719663
50.948165,6.9719647
50.9481617,6.9719628
50.9481588,6.9719618
50.948156,6.9719597
50.9481532,6.9719583
50.948151,6.9719575
50.9481492,6.9719563
50.9481472,6.9719555
50.9481448,6.9719542
50.9481415,6.971953
50.9481368,6.9719508
50.9481318,6.9719485
50.9481268,6.971947
50.9481223,6.9719442
50.9481173,6.9719417
50.9481125,6.9719392
50.9481023,6.9719343
50.9480978,6.9719325
50.9480937,6.9719307
50.948085,6.9719268
50.9480815,6.9719243
50.9480795,6.971924
50.9480788,6.9719247
50.9480787,6.9719253
50.9480783,6.9719257
50.9480778,6.9719262
50.9480773,6.9719262
50.948077,6.9719263
50.9480813,6.9719137
50.9480828,6.9719113
50.9480845,6.9719083
50.9480862,6.9719053
50.9480875,6.971903
50.9480895,6.9719003
50.9480917,6.9718973
50.9480942,6.9718938
50.9480963,6.9718903
50.9480997,6.9718867
50.9481028,6.971882
50.9481063,6.9718775
50.9481098,6.9718722
50.9481132,6.9718675
50.9481165,6.971863
50.9481197,6.9718585
50.9481228,6.9718545
50.9481255,6.9718517
50.9481285,6.9718483
50.9481298,6.9718475
50.9481318,6.9718453
50.9481342,6.971842
50.948137,6.9718377
50.94814,6.9718333
50.9481427,6.9718295
50.948146,6.9718257
50.9481495,6.9718215
50.9481518,6.9718177
50.9481552,6.9718133
50.948159,6.9718082
50.9481622,6.9718027
50.948169,6.9717912
50.948172,6.9717867
50.9481738,6.9717852
50.9481745,6.9717847
50.9481747,6.9717845
50.948175,6.9717847
50.9481752,6.971785
50.9481753,6.9717862
50.9481753,6.9717865
50.9481753,6.9717867
50.9481757,6.9717877
50.948176,6.9717888
50.9481765,6.9717893
50.948177,6.9717903
50.948178,6.9717932
50.948179,6.9717985
50.9481797,6.9718043
50.9481805,6.9718098
50.9481817,6.9718145
50.948182,6.9718188
50.9481828,6.9718242
50.9481838,6.97183
50.948185,6.9718357
50.9481855,6.9718417
50.9481862,6.9718473
50.948187,6.9718525
50.948188,6.971858
50.9481892,6.9718688
50.9481902,6.9718745
50.9481915,6.9718805
50.9481923,6.9718865
50.9481932,6.9718928
50.9481942,6.971899
50.9481953,6.9719057
50.9481965,6.9719118
50.9481968,6.9719183
50.9481983,6.971925
50.9481995,6.9719322
50.9482008,6.9719395
50.9482022,6.9719462
50.9482092,6.9719897
50.9482092,6.9719912
50.9482095,6.9719912
50.9482097,6.971991
50.9482093,6.9719908
50.9482095,6.9719907
50.9482093,6.9719902
50.9482078,6.9719892
50.9482068,6.9719873
50.9482053,6.9719862
50.9482025,6.9719837
50.9481985,6.9719817
50.9481947,6.9719798
50.9481907,6.9719785
50.948187,6.9719767
50.9481837,6.9719748
50.9481802,6.9719735
50.948176,6.9719718
50.9481717,6.9719697
50.9481675,6.9719673
50.9481632,6.971966
50.948159,6.9719632
50.948155,6.9719608
50.9481477,6.9719568
50.9481438,6.971955
50.94814,6.9719528
50.9481353,6.9719507
50.9481308,6.971948
50.9481263,6.9719462
50.9481218,6.971944
50.9481128,6.9719398
50.9481087,6.9719378
50.9481045,6.9719357
50.9481,6.9719332
50.9480955,6.9719308
50.9480912,6.9719287
50.9480873,6.9719273
50.9480852,6.9719253
50.9480845,6.9719253
50.9480835,6.9719258
50.9480832,6.971926
50.9480828,6.9719262
50.9480827,6.9719263
50.9480825,6.9719267
50.9480822,6.9719268
50.9480818,6.971927
50.9480815,6.9719272
50.9480812,6.9719275
50.9480808,6.9719278
50.9480805,6.971928
50.9480803,6.9719283
50.9480805,6.9719278
50.9480805,6.9719273
50.9480798,6.9719265
50.9480797,6.9719263
50.94808,6.971926
50.9480803,6.9719263
50.9480805,6.9719267
50.948081,6.9719267
50.9480818,6.9719267
50.9480823,6.971927
50.9480825,6.9719272
50.9480825,6.9719273
50.9480825,6.9719275
50.9480825,6.9719278
50.9480823,6.9719277
50.9480822,6.9719277
50.948082,6.9719278
50.9480818,6.9719282
50.9480818,6.9719283
50.9480818,6.9719288
50.9480825,6.9719292
50.9480848,6.9719312
50.9480897,6.9719317
50.948104,6.9719333
50.9481128,6.9719338
50.9481232,6.9719357
50.948134,6.9719382
